nofinesset;nofinessej;rs;rslongue;numvoie;typvoie;voie;compvoie;lieuditbp;commune;departement;libdepartement;ligneachimenement;libcategetab;libcategagretab;codeape;codemft;libmft;codesph;libsph;ville
120000153;120780291;CH MAURICE FENAILLE SEVERAC LE CHATEAU;CENTRE HOSPITALIER MAURICE FENAILLE SEVERAC LE CHATEAU;;;ENGAYRESQUES;;;291.0;12;AVEYRON;12520 VERRIERES;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VERRIERES
120000237;120780481;CHI VALLON SALLES LA SOURCE;CHI VALLON SALLES LA SOURCE;;;;;;254.0;12;AVEYRON;12330 SALLES LA SOURCE;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;SALLES LA SOURCE
120001839;120004528;HJ PSY GEN SITE STE ANNE CH MILLAU;HOPITAL DE JOUR PSY GENERALE SITE SAINTE ANNE CH MILLAU;2.0;AV;PIERRE SEMARD;;;145.0;12;AVEYRON;12100 MILLAU;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MILLAU
120001888;120004528;HJ PSY GEN ST AFFRIQUE CH MILLAU;HOPITAL DE JOUR PSY GENERALE SAINT AFFRIQUE CH DE MILLAU;88.0;AV;DR LUCIEN GALTIER;;;208.0;12;AVEYRON;12400 ST AFFRIQUE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST AFFRIQUE
120004569;120004528;CH MILLAU;CENTRE HOSPITALIER COMMUNAL DE MILLAU;265.0;BD;ACHILLE SOUQUES;;BP 148;145.0;12;AVEYRON;12101 MILLAU CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MILLAU
120004668;120004619;CH EMILE BOREL ST AFFRIQUE;CENTRE HOSPITALIER EMILE BOREL SAINT AFFRIQUE;88.0;AV;DR LUCIEN GALTIER;;;208.0;12;AVEYRON;12402 ST AFFRIQUE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST AFFRIQUE
120007554;120004528;SSR SITE STE ANNE CH MILLAU;SOINS DE SUITE ET READAPTATION SITE SAINTE ANNE CH MILLAU;2.0;AV;PIERRE SEMARD;;;145.0;12;AVEYRON;12100 MILLAU;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MILLAU
120007778;120004528;HJ PIJ CH MILLAU;HOPITAL JOUR PSY INFANTO JUVENILE CH MILLAU;14.0;R;MATHIEU PREVOT;;;145.0;12;AVEYRON;12101 MILLAU CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MILLAU
120008248;120780069;SSR CH VILLEFRANCHE SITE RULHE;SSR CH VILLEFRANCHE SITE RULHE;;AV;CAYLET;;BP 299;300.0;12;AVEYRON;12200 VILLEFRANCHE DE ROUERGUE;Centre Hospitalier (C.H.);Centres Hospitaliers;6619A;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VILLEFRANCHE DE ROUERGUE
120783188;120780044;CH RODEZ SITE LES PEYRIERES OLEMPS;CH RODEZ SITE LES PEYRIERES OLEMPS;;;LES PEYRIERES;;;174.0;12;AVEYRON;12510 OLEMPS;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;OLEMPS
120785381;120004528;CTRE PLANIF FAM CH SAINT AFFRIQUE;CENTRE DE PLANIFICATION ET D'EDUCATION FAMILIALE;88.0;AV;DR LUCIEN GALTIER;;;208.0;12;AVEYRON;12400 ST AFFRIQUE;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST AFFRIQUE
120786249;120004528;CENTRE DE SANTE MENTALE CH MILLAU;CENTRE DE SANTE MENTALE CH MILLAU;148.0;R;DU PRINTEMPS;;;145.0;12;AVEYRON;12100 MILLAU;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MILLAU
130000409;130041916;CHI SITE D'AIX EN PROVENCE;CHI SITE D'AIX EN PROVENCE;;AV;DES TAMARIS;;;1.0;13;BOUCHES DU RHONE;13616 AIX EN PROVENCE CEDEX 1;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AIX EN PROVENCE 
130000516;130781339;CH LOUIS BRUNET D'ALLAUCH;CENTRE HOSPITALIER LOUIS BRUNET D'ALLAUCH;;CHE;DES MILLE ECUS;;BP 28;2.0;13;BOUCHES DU RHONE;13718 ALLAUCH CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ALLAUCH
130000565;130781446;CENTRE HOSPITALIER GENERAL D'AUBAGNE;CENTRE HOSPITALIER GENERAL D'AUBAGNE;179.0;AV;DES SOEURS GASTINE;;;5.0;13;BOUCHES DU RHONE;13400 AUBAGNE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AUBAGNE
130001225;130782634;HOPITAL DU PAYS SALONAIS;HOPITAL DU PAYS SALONAIS;207.0;AV;JULIEN FABRE;;BP 321;103.0;13;BOUCHES DU RHONE;13658 SALON DE PROVENCE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;SALON DE PROVENCE
130001258;130028228;HOPITAUX PORTES DE CAMARGUE TARASCON;HOPITAUX PORTES DE CAMARGUE TARASCON;;RTE;D'ARLES;;BP 28;108.0;13;BOUCHES DU RHONE;13151 TARASCON CEDEX;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;TARASCON
130002215;130785512;CENTRE HOSPITALIER GENERAL LA CIOTAT;CENTRE HOSPITALIER GENERAL LA CIOTAT;;BD;LAMARTINE;;BP 150;28.0;13;BOUCHES DU RHONE;13708 LA CIOTAT CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LA CIOTAT
130002827;130789274;CH JOSEPH IMBERT D'ARLES;CENTRE HOSPITALIER JOSEPH IMBERT D'ARLES;;QUA;FOURCHON;;BP 80195;4.0;13;BOUCHES DU RHONE;13637 ARLES CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ARLES
130002835;130789316;CH DE MARTIGUES HOPITAL DES RAYETTES;CH DE MARTIGUES HOPITAL DES RAYETTES;3.0;BD;DES RAYETTES;;BP 50248;56.0;13;BOUCHES DU RHONE;13698 MARTIGUES CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MARTIGUES
130012768;130781446;CH EDMOND GARCIN MOYEN SEJOUR AUBAGNE;CENTRE HOSPITALIER EDMOND GARCIN MOYEN SEJOUR D'AUBAGNE;;AV;DU 21 AOUT 44 MAIS DU PARC;;;5.0;13;BOUCHES DU RHONE;13400 AUBAGNE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AUBAGNE
130015449;130789316;HJ PSY SECT25 PORT BOUC CH MARTIGUES;HJ PSY SECT 25 PORT DE BOUC CH MARTIGUES;52.0;AV;PAUL VAILLANT COUTURIER;;;77.0;13;BOUCHES DU RHONE;13110 PORT DE BOUC;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PORT DE BOUC
130015498;130789316;HJ PSY SECTEUR 23 CH MARTIGUES;HJ PSY SECTEUR 23 CH MARTIGUES;15.0;R;EDMOND ROSTAND;;;54.0;13;BOUCHES DU RHONE;13700 MARIGNANE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MARIGNANE
130045057;130789316;HJ PSY SECTEUR 24 CH MARTIGUES;HJ PSY SECTEUR 24 CH MARTIGUES;;VLA;LES PINS ANC RTE MARSEILLE;;;56.0;13;BOUCHES DU RHONE;13500 MARTIGUES;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MARTIGUES
130045065;130789316;HJ PSY SECTEUR 10 CH MARTIGUES;HJ PSY SECTEUR 10 CH MARTIGUES;5.0;R;LOUISON BOBET;T;;56.0;13;BOUCHES DU RHONE;13500 MARTIGUES;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MARTIGUES
130790157;130789316;CH DE MARTIGUES HOPITAL DU VALLON;CH DE MARTIGUES HOPITAL DU VALLON;;BD;DU 19 MARS 1962;;;56.0;13;BOUCHES DU RHONE;13500 MARTIGUES;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MARTIGUES
130796972;130789274;USMP MAISON CENTRALE;USMP MAISON CENTRALE CH JOSEPH IMBERT;;R;NICOLAS COPERNIC;;;4.0;13;BOUCHES DU RHONE;13200 ARLES;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ARLES
130797020;130789274;HJ L'ORANGER SECT 13I11;HJ L'ORANGER SECTEUR 13I11 CH ARLES;;QUA;FOURCHON;;BP 80195;4.0;13;BOUCHES DU RHONE;13637 ARLES CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ARLES
130803661;130789274;USMP CENTRE DETENTION CH ARLES;USMP CENTRE DETENTION CH ARLES;;QUA;RADOUBS;;;108.0;13;BOUCHES DU RHONE;13150 TARASCON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;TARASCON
130808447;130789274;HJ LACROIX SECT 13G27;HJ LACROIX SECTEUR 13G27 CH ARLES;;R;LACROIX;;;4.0;13;BOUCHES DU RHONE;13200 ARLES;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ARLES
130809015;130001928;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;176.0;AV;DE MONTOLIVET;;BP 50058;212.0;13;BOUCHES DU RHONE;13375 MARSEILLE CEDEX 12;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MARSEILLE 
140000027;140000035;CENTRE HOSPITALIER DE LISIEUX;CENTRE HOSPITALIER ROBERT BISSON;4.0;R;ROGER AINI;;BP 97223;366.0;14;CALVADOS;14107 LISIEUX CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LISIEUX
140000076;140000092;CENTRE HOSPITALIER AUNAY-BAYEUX;CENTRE HOSPITALIER D'AUNAY SUR ODON;5.0;R;DE L'HÔPITAL;;;27.0;14;CALVADOS;14260 LES MONTS D AUNAY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LES MONTS D AUNAY
140000233;140000118;CENTRE HOSPITALIER DE FALAISE;CENTRE HOSPITALIER DE FALAISE;;BD;DES BERCAGNES;;;258.0;14;CALVADOS;14700 FALAISE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;FALAISE
140000241;140026279;CH COTE FLEURIE - SITE D'EQUEMAUVILLE;CENTRE HOSPITALIER DE LA CÔTE FLEURIE;;CHE;DE LA PLANE EQUEMAUVILLE;;BP 30009;333.0;14;CALVADOS;14601 HONFLEUR CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;HONFLEUR
140000308;140000134;CENTRE HOSPITALIER DE PONT L'EVEQUE;;23.0;AV;DU RAMBAULT;;;514.0;14;CALVADOS;14130 PONT L EVEQUE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PONT L EVEQUE
140000373;140000159;CENTRE HOSPITALIER DE VIRE;CENTRE HOSPITALIER DE VIRE;4.0;R;EMILE DESVAUX;;BP 80156;762.0;14;CALVADOS;14504 VIRE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VIRE
140002445;140000092;SITE HENRY DUNANT - CH BAYEUX;;2.0;R;D'APRIGNY;;BP 244;47.0;14;CALVADOS;14402 BAYEUX CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BAYEUX
140004136;140000092;UNITE PSYCHIATRIQUE - CH BAYEUX;;;RTE;DE VAUX SUR AURE;;BP 18127;47.0;14;CALVADOS;14401 BAYEUX CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BAYEUX
140008152;140000134;CH PONT L'EVEQUE SITE DU VAL D'AUGE;;;ALL;DE L ISLE;;;514.0;14;CALVADOS;14130 PONT L EVEQUE;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PONT L EVEQUE
140018011;140000092;HOPITAL DE JOUR (14I01)- CH BAYEUX;;39.0;R;SAINT EXUPERE;;;47.0;14;CALVADOS;14400 BAYEUX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BAYEUX
140018029;140000092;HOPITAL DE JOUR (14I01)  - CH BAYEUX;;1009.0;;LA HAUTE FOLIE;B;;327.0;14;CALVADOS;14200 HEROUVILLE ST CLAIR;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;HEROUVILLE ST CLAIR
140024886;140000092;CENTRE HOSPITALIER - AUNAY-BAYEUX;;13.0;R;DE NESMOND;;BP 142;47.0;14;CALVADOS;14400 BAYEUX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BAYEUX
140025362;140000092;SSR GÉRIATRIQUE CHAMP FLEURY;;37.0;R;SAINT EXUPÈRE;;;47.0;14;CALVADOS;14400 BAYEUX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BAYEUX
140026410;140026279;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;;;RTE;DEPARTEMENTALE 62;;;202.0;14;CALVADOS;14113 CRICQUEBOEUF;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CRICQUEBOEUF
150000024;150780047;CH DE CONDAT EN FENIERS;CENTRE HOSPITALIER DE CONDAT EN FENIERS;;RTE;DE BORT;;;54.0;15;CANTAL;15190 CONDAT;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CONDAT
150000032;150780088;CH DE SAINT-FLOUR;CENTRE HOSPITALIER DE SAINT-FLOUR;;AV;DOCTEUR MALLET;;BP 49;187.0;15;CANTAL;15102 ST FLOUR CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST FLOUR
150000040;150780096;CH HENRI MONDOR;CENTRE HOSPITALIER HENRI MONDOR - AURILLAC;50.0;AV;DE LA REPUBLIQUE;;BP 229;14.0;15;CANTAL;15002 AURILLAC CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AURILLAC
150000149;150780393;CH PIERRE RAYNAL;CENTRE HOSPITALIER PIERRE RAYNAL;;AV;PIERRE VIALARD;;;45.0;15;CANTAL;15110 CHAUDES AIGUES;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CHAUDES AIGUES
150000164;150780468;CH DE MAURIAC;CENTRE HOSPITALIER DE MAURIAC;;AV;FERNAND TALANDIER;;;120.0;15;CANTAL;15200 MAURIAC;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MAURIAC
150000180;150780500;CH DE MURAT;CENTRE HOSPITALIER DE MURAT;4.0;PTE;SAINT ESPRIT;B;;138.0;15;CANTAL;15300 MURAT;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MURAT
150003671;150780096;HDJ ADULTES LE COMPAS;HDJ ADULTES LE COMPAS;50.0;AV;DE LA REPUBLIQUE;;;14.0;15;CANTAL;15000 AURILLAC;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AURILLAC
150004182;150780096;USN1 MAISON D'ARRET D'AURILLAC;USN1 MAISON D'ARRET D'AURILLAC;20.0;PL;DU SQUARE;;;14.0;15;CANTAL;15000 AURILLAC;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AURILLAC
150004190;150780096;HDJ ENFANT SAINT FLOUR;HDJ ENFANT SAINT FLOUR;34.0;R;SOREL;;;187.0;15;CANTAL;15100 ST FLOUR;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST FLOUR
150780773;150780088;SERVICE DE PSYCHIATRIE - CH ST FLOUR;SERVICE DE PSYCHIATRIE - CH ST FLOUR;;;;;VOLZAC;187.0;15;CANTAL;15100 ST FLOUR;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST FLOUR
150780823;150780096;CH ANNEXE CUEILHES;CENTRE HOSPITALIER ANNEXE DE CUEILHES;;RTE;D'YTRAC;;;14.0;15;CANTAL;15000 AURILLAC;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AURILLAC
160000188;160000121;CH DE LA ROCHEFOUCAULD;CH DE LA ROCHEFOUCAULD;;PL;DU CHAMP DE FOIRE;;;281.0;16;CHARENTE;16110 LA ROCHEFOUCAULD EN ANGOUM;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LA ROCHEFOUCAULD EN ANGOUM
160000253;160000451;CENTRE HOSPITALIER D'ANGOULEME;CENTRE HOSPITALIER D'ANGOULEME;;RPT;DE GIRAC;;CS 55015 SAINT-MICHEL;15.0;16;CHARENTE;16000 ANGOULEME;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ANGOULEME
160000261;160014411;CHI DU PAYS DE COGNAC - SSR;;71.0;AV;D ANGOULEME;;CS 50264 - CHATEAUBERNARD;102.0;16;CHARENTE;16112 COGNAC CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;COGNAC
160000303;160006037;CH HOPITAUX SUD-CHARENTE;CH HOPITAUX SUD-CHARENTE;;RTE;DE SAINT BONNET;;BP 50031;28.0;16;CHARENTE;16300 BARBEZIEUX ST HILAIRE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BARBEZIEUX ST HILAIRE
160000311;160000485;CENTRE HOSPITALIER CONFOLENS;CENTRE HOSPITALIER CONFOLENS;;R;MARCEL PERROT;;BP 50083;106.0;16;CHARENTE;16500 CONFOLENS;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CONFOLENS
160000337;160000493;CENTRE HOSPITALIER DE RUFFEC;CENTRE HOSPITALIER DE RUFFEC;15.0;R;DE L HOPITAL;;BP 40071;292.0;16;CHARENTE;16700 RUFFEC;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;RUFFEC
160000360;160014411;CH DE CHATEAUNEUF;CH DE CHATEAUNEUF;;PL;DE L'EGLISE;;;90.0;16;CHARENTE;16120 CHATEAUNEUF SUR CHARENTE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CHATEAUNEUF SUR CHARENTE
160013835;160000451;CDAG - CTRE DEPIST. ANON. & GRAT.;CDAG - CTRE DEPIST. ANON. & GRAT.;;RPT;DE GIRAC;;CS 55015 SAINT-MICHEL;15.0;16;CHARENTE;16000 ANGOULEME;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ANGOULEME
160013876;160014411;CDAG - CTRE DEPIST. ANON. & GRAT.;;65.0;AV;D ANGOULEME;;CS 50264 - CHATEAUBERNARD;102.0;16;CHARENTE;16112 COGNAC CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;COGNAC
160014841;160000485;CDAG - CTRE DEPIST. ANON. & GRAT.;CDAG - CTRE DEPIST. ANON. & GRAT.;;R;MARCEL PERROT;;BP 50083;106.0;16;CHARENTE;16500 CONFOLENS;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CONFOLENS
160015368;160014411;HOPITAUX DU GRAND COGNAC;HOPITAUX DU GRAND COGNAC;65.0;AV;D ANGOULEME;;CS 50264 CHATEAUBERNARD;102.0;16;CHARENTE;16112 COGNAC CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;COGNAC
170000038;170780050;CENTRE HOSPITALIER JONZAC;CENTRE HOSPITALIER JONZAC;;AV;WINSTON CHURCHILL;;BP 80109;197.0;17;CHARENTE MARITIME;17503 JONZAC CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;JONZAC
170000061;170024194;CSS DU CHATEAU MARLONGES - CHAMBON;CENTRE DE SOINS DE SUITE DU CHATEAU DE MARLONGES;5.0;R;DE LA GROSSE MOTTE;;CHATEAU DE MARLONGES;80.0;17;CHARENTE MARITIME;17290 CHAMBON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CHAMBON
170000079;170780142;CTRE HOSPITALIER ST-PIERRE D'OLERON;CTRE HOSPITALIER ST-PIERRE D'OLERON;;R;CARINENA;;BP 20;385.0;17;CHARENTE MARITIME;17310 ST PIERRE D OLERON;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST PIERRE D OLERON
170000087;170024194;HOPITAL SAINT-LOUIS - LA ROCHELLE;HOPITAL SAINT-LOUIS - LA ROCHELLE;;R;DU DR SCHWEITZER;;;300.0;17;CHARENTE MARITIME;17019 LA ROCHELLE CEDEX 1;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LA ROCHELLE 
170000095;170780167;CENTRE HOSPITALIER ST-JEAN D'ANGELY;CENTRE HOSPITALIER ST-JEAN D'ANGELY;18.0;AV;DU PORT;;BP 93;347.0;17;CHARENTE MARITIME;17415 ST JEAN D ANGELY CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST JEAN D ANGELY
170000103;170780175;CH DE SAINTONGE - SAINTES;CH DE SAINTONGE - SAINTES;11.0;BD;AMBROISE PARE;;BP 10326;415.0;17;CHARENTE MARITIME;17108 SAINTES CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;SAINTES
170000111;170024194;CH ST HONORE - ST-MARTIN-DE-RE;;53.0;R;DE L HOPITAL;;;369.0;17;CHARENTE MARITIME;17410 ST MARTIN DE RE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST MARTIN DE RE
170000129;170780191;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;20.0;AV;DE SAINT SORDELIN;;BP 70214 - VAUX-SUR-MER;306.0;17;CHARENTE MARITIME;17205 ROYAN CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ROYAN
170000137;170780209;CH DUBOIS MEYNARDIE - MARENNES;CH DUBOIS MEYNARDIE - MARENNES;3.0;R;DU DOCTEUR ROUX;B;BP 80;219.0;17;CHARENTE MARITIME;17320 MARENNES HIERS BROUAGE;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MARENNES HIERS BROUAGE
170000152;170780225;CENTRE HOSPITALIER ROCHEFORT;CENTRE HOSPITALIER ROCHEFORT;1.0;AV;BELIGON;;BP 30009;299.0;17;CHARENTE MARITIME;17301 ROCHEFORT CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ROCHEFORT
170000178;170780266;CENTRE HOSPITALIER BOSCAMNANT;CENTRE HOSPITALIER BOSCAMNANT;;LD;LES BRUYERES;;;55.0;17;CHARENTE MARITIME;17360 BOSCAMNANT;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BOSCAMNANT
